Timestamp_Dly	Dom_Wind_Direction_Dly	ENV__Dur_(Hrs)_Dly	Outside_Temp_(°F)_Dly-Ave	Wind_Chill_(°F)_Dly-Ave	Heat_Index_(°F)_Dly-Ave	Dew_Point_(°F)_Dly-Ave	Outside_Humidity_(%)_Dly-Ave	Wind_Speed_(mph)_Dly-Ave	Rain_Rate_(in/hr)_Dly-Ave	Barometer_(inHg)_Dly-Ave	Solar_Radiance_(W/m2)_Dly-Ave	Gr_Roof_Temp_(°F)_Dly-Ave	Wh_Roof_Temp_(°F)_Dly-Ave	Outside_Temp_(°F)_Dly-Min	Wind_Chill_(°F)_Dly-Min	Heat_Index_(°F)_Dly-Min	Dew_Point_(°F)_Dly-Min	Outside_Humidity_(%)_Dly-Min	Wind_Speed_(mph)_Dly-Min	Rain_Rate_(in/hr)_Dly-Min	Barometer_(inHg)_Dly-Min	Solar_Radiance_(W/m2)_Dly-Min	Gr_Roof_Temp_(°F)_Dly-Min	Wh_Roof_Temp_(°F)_Dly-Min	Outside_Temp_(°F)_Dly-Max	Wind_Chill_(°F)_Dly-Max	Heat_Index_(°F)_Dly-Max	Dew_Point_(°F)_Dly-Max	Outside_Humidity_(%)_Dly-Max	Wind_Speed_(mph)_Dly-Max	Rain_Rate_(in/hr)_Dly-Max	Barometer_(inHg)_Dly-Max	Solar_Radiance_(W/m2)_Dly-Max	Gr_Roof_Temp_(°F)_Dly-Max	Wh_Roof_Temp_(°F)_Dly-Max
12:00:00.000 AM 9/14/2015		24.000323	62.677468	62.613476	62.376267	50.067318	66.081912	1.489456	0.000000	27.291424	209.895068	58.842407	60.401032	46.627455	46.624249	46.762725	43.634892	42.351190	0.000000	0.000000	16.778833	0.000000	47.039889	31.472018	78.558483	78.443313	77.981038	54.841486	89.262525	5.303030	0.000000	31.668373	724.655378	71.166862	106.581130
12:00:00.000 AM 9/15/2015		23.999481	69.366575	69.352487	69.560360	56.697082	65.896817	1.218677	0.000000	25.560009	188.156114	67.708216	70.418028	57.515400	57.515400	57.315399	51.917549	43.107356	0.004000	0.000000	16.865000	0.000000	58.742126	48.399395	84.016501	83.951293	84.788000	61.149704	81.838000	3.688000	0.000000	31.743210	701.189621	78.180053	110.147439
12:00:00.000 AM 9/16/2015		23.999514	70.475570	70.464234	70.761369	57.424161	65.320208	1.339310	0.000000	27.822496	203.937751	69.133743	67.980235	56.328685	56.328685	56.218127	51.751016	44.710317	0.000000	0.000000	17.032000	0.000000	57.862493	40.922718	83.557630	83.525904	84.549799	61.783097	84.613546	3.740594	0.000000	31.844000	718.956088	79.285788	112.407389
12:00:00.000 AM 9/17/2015		23.999129	69.980431	69.948624	70.345529	58.235024	69.782671	1.324945	0.000000	27.286624	211.424509	68.124825	67.030346	56.382306	56.382306	56.582306	54.912565	40.713147	0.000000	0.000000	18.312423	0.000000	58.433756	41.959850	84.406573	84.300996	85.126295	62.350171	95.508000	4.456175	0.000000	31.671078	706.966135	76.686810	111.690282
12:00:00.000 AM 9/18/2015		24.001216	70.147387	70.142806	71.464938	62.518025	77.158403	1.349274	0.023816	23.985065	123.409682	69.125025	71.884786	63.326493	63.318326	63.397410	54.587470	66.411531	0.342629	0.000000	16.701000	0.000000	62.889080	48.832271	81.612923	81.612923	84.827833	69.552472	92.337325	2.465209	0.566587	27.253000	618.682635	78.144829	113.393812
12:00:00.000 AM 9/19/2015		23.999236	64.993615	64.552806	65.869316	60.452625	85.875483	4.239876	0.008983	25.412630	118.077886	67.535008	64.316758	55.993200	55.940800	55.893200	51.572040	66.586481	0.526946	0.000000	19.384278	0.000000	61.378792	45.485811	68.576739	68.124104	70.612352	67.346013	96.802395	9.873016	0.082460	27.539366	613.896620	72.046360	87.329947
12:00:00.000 AM 9/20/2015		24.001277	58.676053	58.665595	58.279691	49.661884	74.376028	0.570479	0.000000	29.361455	191.797076	58.581813	56.105705	47.359643	47.288867	47.659642	45.639375	47.808765	0.000000	0.000000	21.941000	0.000000	51.325847	31.066339	71.422710	71.418925	70.030678	53.465732	94.169323	1.654076	0.000000	31.766083	657.413174	65.360979	99.933602
12:00:00.000 AM 9/21/2015		24.000280	60.741473	60.732728	60.556475	51.222870	73.517911	0.676589	0.000000	30.113274	192.373528	59.760783	57.352569	50.610799	50.602799	50.910801	48.130463	45.701403	0.000000	0.000000	26.289000	0.000000	53.075874	32.536533	74.546293	74.546293	74.166734	56.804481	93.000000	2.723684	0.000000	31.722000	686.294811	67.246421	101.937824
12:00:00.000 AM 9/22/2015		23.999910	62.605949	62.605415	62.697259	52.988423	74.723569	0.320420	0.000000	29.818184	203.556278	60.542073	59.253039	49.590800	49.590800	50.090800	47.754482	41.571429	0.000000	0.000000	20.312000	0.000000	51.926158	33.176571	79.279074	79.279074	78.590543	60.453690	96.717694	1.544177	0.000000	31.760500	685.296813	69.872107	108.346997
12:00:00.000 AM 9/23/2015		23.998911	64.383841	64.382598	64.480913	54.973914	75.080921	0.404188	0.000000	31.568647	197.560440	62.288225	59.818183	51.700800	51.700800	52.000800	50.315030	43.648000	0.000000	0.000000	30.124001	0.000000	53.676205	32.883218	80.717400	80.717400	80.169400	61.556054	97.155689	2.040080	0.000000	31.759691	655.154455	70.797580	108.710751
12:00:00.000 AM 9/24/2015		24.000159	65.865591	65.862281	66.185026	56.980379	75.194847	0.621227	0.000000	30.206526	190.313490	64.537626	63.606430	54.718416	54.718416	54.845941	52.386647	52.070000	0.002008	0.000000	24.236000	0.000000	56.536702	42.346353	80.294211	80.290618	81.071457	62.734549	95.040161	1.943434	0.000000	32.010792	673.948207	73.511038	108.816445
12:00:00.000 AM 9/25/2015		24.000264	67.197473	67.193649	67.638076	58.721240	76.646281	0.730014	0.000000	31.446466	182.207143	66.350506	66.101745	57.710421	57.710421	58.010421	56.121508	48.906188	0.010000	0.000000	30.577544	0.000000	59.589816	47.303393	79.705590	79.674252	79.831737	64.791671	97.287425	2.268000	0.000000	32.136965	654.626000	73.615205	103.761072
12:00:00.000 AM 9/26/2015		23.999539	65.729919	65.693416	66.163792	58.575430	79.634463	1.415781	0.000000	31.667220	151.614399	65.821951	65.607013	59.038477	59.038477	59.438478	54.529307	48.640562	0.029880	0.000000	29.236000	0.000000	61.239445	50.665556	75.655776	75.557831	76.379083	63.054433	96.000000	3.772908	0.000000	32.398998	591.434263	71.615075	100.253491
12:00:00.000 AM 9/27/2015		24.000338	66.096092	66.072651	66.728910	58.803744	78.415282	1.602338	0.000000	-41.390390	132.183967	65.033008	66.627165	55.189558	55.189558	55.289559	52.323534	62.082000	0.000000	0.000000	-1608.321025	0.000000	57.145905	43.978098	75.979487	75.920118	76.924654	62.724251	93.969819	4.167339	0.000000	32.383999	526.201613	72.596003	102.576278
12:00:00.000 AM 9/28/2015		24.000773	70.535469	70.530380	72.202937	64.972344	83.133333	1.472007	0.000000	23.360001	108.163788	71.361001	72.356046	65.147484	65.147484	66.236418	62.350687	64.543825	0.136546	0.000000	23.360001	0.000000	66.241243	60.136022	80.558765	80.557968	82.845617	68.057913	92.241449	4.197581	0.000000	23.360001	484.701403	78.117985	107.615859
12:00:00.000 AM 9/29/2015		23.999974	64.153192	64.046960	65.099831	61.126120	90.059027	1.813376	0.015780	23.428604	59.305945	67.245241	60.516555	54.837675	54.169539	54.737675	50.443301	77.449597	0.000000	0.000000	23.360001	0.000000	60.950358	48.147757	72.471400	72.471400	74.324199	67.505194	97.000000	4.264000	0.337360	24.448999	284.812375	71.522820	77.278205
12:00:00.000 AM 9/30/2015		23.998782	55.069267	54.484912	54.508475	46.202550	73.539714	3.482220	0.000000	30.974524	181.128863	56.119323	54.517996	48.433996	48.010241	48.282505	41.916679	51.860000	1.174950	0.000000	24.448999	0.000000	52.217532	37.372413	63.776694	63.451992	62.364741	49.877626	91.000000	5.712000	0.000000	32.334000	679.479042	59.762125	87.086352
12:00:00.000 AM 10/1/2015		23.999694	51.001490	50.617224	50.305961	41.160736	69.984848	2.061355	0.000000	28.566598	189.836996	51.206602	49.182019	44.835800	44.637800	44.638800	39.598012	50.476954	0.467871	0.000000	27.420000	0.000000	45.717746	33.416546	60.483567	60.325852	58.529660	42.070568	82.359281	3.560878	0.000000	32.129002	700.713427	57.236580	86.324994
12:00:00.000 AM 10/2/2015		23.999628	50.532500	50.000202	49.572570	37.804208	62.429678	2.344282	0.000000	29.908675	153.422941	50.154879	48.601738	44.842455	44.320725	44.536822	34.329024	45.635644	0.953995	0.000000	26.452000	0.000000	45.193642	34.944888	57.577756	57.388979	55.432264	41.965562	77.575453	4.648703	0.000000	32.487999	609.672655	55.072918	72.522743
